,date_time,symbol,direction,quantity,order_price,return_profit,return_profit_pct
0,1986-12-15 00:00:00,MSFT,LONG,0,[50774400.],,
0,1989-03-10 00:00:00,MSFT,LONG,0,[66902400.],,
0,1989-04-18 00:00:00,MSFT,LONG,0,[69336000.],,
0,1989-10-24 00:00:00,MSFT,LONG,0,[1.570896e+08],,
0,1990-10-05 00:00:00,MSFT,LONG,0,[82101600.],,
0,1990-10-16 00:00:00,MSFT,LONG,0,[3.00888e+08],,
0,1991-02-11 00:00:00,MSFT,LONG,0,[1.523376e+08],,
0,1991-03-25 00:00:00,MSFT,LONG,0,[59824800.],,
0,1991-07-29 00:00:00,MSFT,LONG,0,[1.364688e+08],,
0,1992-05-08 00:00:00,MSFT,LONG,0,[59822400.],,
0,1993-02-05 00:00:00,MSFT,LONG,0,[1.77216e+08],,
0,1993-07-07 00:00:00,MSFT,LONG,0,[1.825696e+08],,
0,1993-07-23 00:00:00,MSFT,LONG,0,[92790400.],,
0,1994-04-25 00:00:00,MSFT,LONG,0,[1.427456e+08],,
0,1995-07-18 00:00:00,MSFT,LONG,0,[2.89624e+08],,
0,1997-06-03 00:00:00,MSFT,LONG,0,[41995200.],,
0,1998-02-25 00:00:00,MSFT,LONG,0,[94944400.],,
0,1998-10-22 00:00:00,MSFT,LONG,0,[81910800.],,
0,2000-02-18 00:00:00,MSFT,LONG,0,[79063000.],,
0,2000-10-05 00:00:00,MSFT,LONG,0,[81099400.],,
0,2002-07-25 00:00:00,MSFT,LONG,0,[1.634114e+08],,
0,2004-06-08 00:00:00,MSFT,LONG,0,[58447700.],,
0,2004-11-01 00:00:00,MSFT,LONG,0,[72930900.],,
0,2004-11-12 00:00:00,MSFT,LONG,0,[1.62269e+08],,
0,2004-12-16 00:00:00,MSFT,LONG,0,[88997500.],,
0,2005-08-04 00:00:00,MSFT,LONG,0,[91461400.],,
0,2006-02-02 00:00:00,MSFT,LONG,0,[55073400.],,
0,2006-05-03 00:00:00,MSFT,LONG,0,[2.115271e+08],,
0,2007-11-09 00:00:00,MSFT,LONG,0,[1.251369e+08],,
0,2010-06-02 00:00:00,MSFT,LONG,0,[65718800.],,
0,2010-06-25 00:00:00,MSFT,LONG,0,[1.562567e+08],,
0,2011-03-17 00:00:00,MSFT,LONG,0,[62497000.],,
0,2011-05-23 00:00:00,MSFT,LONG,0,[52692500.],,
0,2011-08-08 00:00:00,MSFT,LONG,0,[1.342572e+08],,
0,2011-10-17 00:00:00,MSFT,LONG,0,[39453300.],,
0,2011-10-27 00:00:00,MSFT,LONG,0,[74512400.],,
0,2011-12-07 00:00:00,MSFT,LONG,0,[62667000.],,
0,2013-01-25 00:00:00,MSFT,LONG,0,[81847700.],,
0,2013-04-19 00:00:00,MSFT,LONG,0,[99790700.],,
0,2015-04-24 00:00:00,MSFT,LONG,0,[1.309337e+08],,
0,2015-07-10 00:00:00,MSFT,LONG,0,[25465800.],,
0,2015-08-26 00:00:00,MSFT,LONG,0,[63408000.],,
0,2015-10-26 00:00:00,MSFT,LONG,0,[64633300.],,
0,2016-05-19 00:00:00,MSFT,LONG,0,[23842400.],,
0,2018-02-12 00:00:00,MSFT,LONG,0,[35720300.],,
0,2018-10-10 00:00:00,MSFT,LONG,0,[61376300.],,
0,2020-03-03 00:00:00,MSFT,LONG,0,[71677000.],,
0,2022-01-26 00:00:00,MSFT,LONG,0,[90428900.],,
